Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Profit,Cum. net profit,Commission
37,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6831.75,6830.25,1/20/2026 11:24:00 AM,1/20/2026 11:51:00 AM,($8.00),$508.00,$0.74
38,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6819.50,6824.50,1/21/2026 9:42:00 AM,1/21/2026 9:48:00 AM,$24.50,$532.50,$0.74
39,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24158.25,24150.00,1/21/2026 10:57:00 AM,1/21/2026 11:05:00 AM,($16.50),$516.00,$0.74
40,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24214.25,24176.00,1/21/2026 11:40:00 AM,1/21/2026 11:54:00 AM,$76.50,$592.50,$0.74
41,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24233.50,24279.00,1/21/2026 12:16:00 PM,1/21/2026 12:52:00 PM,$91.00,$683.50,$0.74
42,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6918.25,6912.50,1/21/2026 1:20:00 PM,1/21/2026 1:52:00 PM,($28.50),$655.00,$0.74
43,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24228.50,24213.00,1/21/2026 2:42:00 PM,1/21/2026 2:57:00 PM,($31.00),$624.00,$0.74
44,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24122.25,24091.50,1/22/2026 10:12:00 AM,1/22/2026 10:26:00 AM,$61.50,$685.50,$0.74
45,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24157.00,24130.75,1/22/2026 11:53:00 AM,1/22/2026 12:11:00 PM,$52.50,$738.00,$0.74
46,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6782.00,6787.25,1/22/2026 1:15:00 PM,1/22/2026 1:17:00 PM,$26.50,$764.50,$0.74
47,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24148.75,24162.50,1/22/2026 1:52:00 PM,1/22/2026 1:59:00 PM,($27.50),$737.00,$0.74
48,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24204.25,24216.75,1/22/2026 2:59:00 PM,1/22/2026 3:20:00 PM,$25.00,$762.00,$0.74
49,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6887.75,6895.75,1/23/2026 9:46:00 AM,1/23/2026 9:59:00 AM,$40.50,$802.50,$0.74
50,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24265.50,24256.75,1/23/2026 11:20:00 AM,1/23/2026 11:44:00 AM,$17.50,$820.00,$0.74
51,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6819.00,6812.25,1/23/2026 12:57:00 PM,1/23/2026 1:10:00 PM,$34.00,$854.00,$0.74
52,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24203.75,24210.50,1/23/2026 1:34:00 PM,1/23/2026 2:05:00 PM,$13.50,$867.50,$0.74
53,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6839.75,6833.50,1/26/2026 9:32:00 AM,1/26/2026 10:09:00 AM,$31.00,$898.50,$0.74
54,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24262.50,24289.50,1/27/2026 9:54:00 AM,1/27/2026 10:03:00 AM,$54.00,$952.50,$0.74
55,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24210.00,24202.75,1/27/2026 11:13:00 AM,1/27/2026 11:21:00 AM,$14.50,$967.00,$0.74
56,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6900.75,6908.75,1/27/2026 11:53:00 AM,1/27/2026 12:31:00 PM,$40.50,$1007.50,$0.74
57,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24142.75,24161.25,1/27/2026 1:06:00 PM,1/27/2026 1:15:00 PM,$37.00,$1044.50,$0.74
58,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24135.50,24121.00,1/27/2026 2:09:00 PM,1/27/2026 2:29:00 PM,($29.00),$1015.50,$0.74
59,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6909.25,6920.00,1/28/2026 10:14:00 AM,1/28/2026 10:28:00 AM,($53.50),$962.00,$0.74
60,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6813.75,6811.50,1/28/2026 11:52:00 AM,1/28/2026 11:56:00 AM,$11.50,$973.50,$0.74
61,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6905.75,6908.00,1/28/2026 12:55:00 PM,1/28/2026 1:21:00 PM,($11.50),$962.00,$0.74
62,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24219.50,24230.50,1/28/2026 2:04:00 PM,1/28/2026 2:32:00 PM,($22.00),$940.00,$0.74
63,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24131.50,24141.25,1/29/2026 9:40:00 AM,1/29/2026 10:03:00 AM,$19.50,$959.50,$0.74
64,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6832.25,6825.75,1/29/2026 10:39:00 AM,1/29/2026 10:42:00 AM,($32.50),$927.00,$0.74
65,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24133.25,24187.00,1/30/2026 9:46:00 AM,1/30/2026 10:11:00 AM,$107.50,$1034.50,$0.74
66,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24124.25,24108.00,1/30/2026 11:23:00 AM,1/30/2026 11:56:00 AM,($32.50),$1002.00,$0.74
67,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6806.50,6808.50,1/30/2026 1:04:00 PM,1/30/2026 1:38:00 PM,$9.50,$1011.50,$0.74
68,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6843.00,6847.25,1/30/2026 2:34:00 PM,1/30/2026 2:43:00 PM,$21.50,$1033.00,$0.74
69,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24177.25,24142.25,2/2/2026 9:47:00 AM,2/2/2026 10:19:00 AM,($70.00),$963.00,$0.74
70,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6812.75,6833.25,2/2/2026 10:49:00 AM,2/2/2026 11:22:00 AM,$103.00,$1066.00,$0.74
71,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6897.50,6914.00,2/2/2026 11:54:00 AM,2/2/2026 11:59:00 AM,($83.00),$983.00,$0.74
72,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24121.25,24150.25,2/3/2026 10:06:00 AM,2/3/2026 10:38:00 AM,$58.00,$1041.00,$0.74
73,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6782.00,6775.50,2/3/2026 11:42:00 AM,2/3/2026 12:11:00 PM,($33.00),$1008.00,$0.74
74,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24235.00,24215.75,2/3/2026 12:32:00 PM,2/3/2026 12:45:00 PM,($38.50),$969.50,$0.74
75,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24274.25,24261.25,2/3/2026 2:09:00 PM,2/3/2026 2:21:00 PM,($26.00),$943.50,$0.74
76,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24152.50,24221.00,2/3/2026 2:49:00 PM,2/3/2026 3:18:00 PM,$137.00,$1080.50,$0.74
77,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24278.25,24208.25,2/4/2026 9:40:00 AM,2/4/2026 10:01:00 AM,$140.00,$1220.50,$0.74
78,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6902.50,6924.75,2/4/2026 11:14:00 AM,2/4/2026 11:21:00 AM,$111.00,$1331.50,$0.74
79,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24211.00,24198.75,2/4/2026 12:25:00 PM,2/4/2026 12:55:00 PM,($24.50),$1307.00,$0.74
80,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24254.00,24275.00,2/4/2026 1:37:00 PM,2/4/2026 2:10:00 PM,$42.00,$1349.00,$0.74
81,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24189.00,24202.25,2/5/2026 9:34:00 AM,2/5/2026 9:41:00 AM,($26.50),$1322.50,$0.74
82,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6780.50,6785.00,2/5/2026 10:41:00 AM,2/5/2026 10:53:00 AM,$22.00,$1344.50,$0.74
83,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24212.00,24215.75,2/5/2026 12:03:00 PM,2/5/2026 12:24:00 PM,($7.50),$1337.00,$0.74
84,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6791.50,6795.50,2/5/2026 1:36:00 PM,2/5/2026 2:14:00 PM,($20.00),$1317.00,$0.74
85,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6848.25,6861.25,2/5/2026 2:43:00 PM,2/5/2026 3:06:00 PM,($65.50),$1251.50,$0.74
86,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6847.00,6840.50,2/6/2026 9:38:00 AM,2/6/2026 9:48:00 AM,$32.50,$1284.00,$0.74
87,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24171.25,24181.25,2/9/2026 9:54:00 AM,2/9/2026 10:14:00 AM,($20.00),$1264.00,$0.74
88,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24210.25,24197.75,2/9/2026 11:39:00 AM,2/9/2026 11:44:00 AM,($25.00),$1239.00,$0.74
89,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24199.00,24167.75,2/9/2026 1:13:00 PM,2/9/2026 1:17:00 PM,$62.50,$1301.50,$0.74
90,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24179.75,24186.25,2/9/2026 2:15:00 PM,2/9/2026 2:48:00 PM,($13.00),$1288.50,$0.74
91,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24194.25,24185.25,2/10/2026 10:02:00 AM,2/10/2026 10:08:00 AM,$18.00,$1306.50,$0.74
92,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24241.25,24245.25,2/10/2026 10:43:00 AM,2/10/2026 11:06:00 AM,($8.00),$1298.50,$0.74
93,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24246.50,24252.00,2/10/2026 11:26:00 AM,2/10/2026 12:00:00 PM,($11.00),$1287.50,$0.74
94,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24185.75,24179.50,2/10/2026 1:24:00 PM,2/10/2026 1:42:00 PM,$12.50,$1300.00,$0.74
95,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24189.00,24192.25,2/11/2026 9:50:00 AM,2/11/2026 10:27:00 AM,($6.50),$1293.50,$0.74
96,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24175.00,24206.00,2/12/2026 9:45:00 AM,2/12/2026 10:09:00 AM,$62.00,$1355.50,$0.74
97,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24160.75,24180.50,2/12/2026 11:00:00 AM,2/12/2026 11:36:00 AM,$39.50,$1395.00,$0.74
98,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6868.25,6859.25,2/13/2026 9:37:00 AM,2/13/2026 9:51:00 AM,($44.50),$1350.50,$0.74
99,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24239.00,24246.50,2/13/2026 10:11:00 AM,2/13/2026 10:36:00 AM,$15.00,$1365.50,$0.74
100,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24171.75,24178.00,2/13/2026 11:38:00 AM,2/13/2026 12:08:00 PM,$12.50,$1378.00,$0.74
101,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24161.00,24153.75,2/13/2026 1:09:00 PM,2/13/2026 1:16:00 PM,($14.50),$1363.50,$0.74
102,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24205.25,24195.25,2/13/2026 2:16:00 PM,2/13/2026 2:49:00 PM,($20.00),$1343.50,$0.74
103,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24272.25,24202.25,2/16/2026 10:14:00 AM,2/16/2026 10:37:00 AM,$140.00,$1483.50,$0.74
104,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24129.75,24157.00,2/16/2026 11:46:00 AM,2/16/2026 12:13:00 PM,($54.50),$1429.00,$0.74
105,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24240.50,24282.00,2/16/2026 1:42:00 PM,2/16/2026 1:57:00 PM,$83.00,$1512.00,$0.74
106,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6906.75,6915.75,2/16/2026 2:36:00 PM,2/16/2026 2:49:00 PM,($45.50),$1466.50,$0.74
107,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6770.50,6790.75,2/17/2026 9:52:00 AM,2/17/2026 10:14:00 AM,$101.00,$1567.50,$0.74
108,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24264.00,24273.75,2/17/2026 11:20:00 AM,2/17/2026 11:54:00 AM,$19.50,$1587.00,$0.74
109,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24187.25,24196.00,2/18/2026 9:47:00 AM,2/18/2026 10:16:00 AM,($17.50),$1569.50,$0.74
110,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24130.00,24105.25,2/18/2026 11:29:00 AM,2/18/2026 12:08:00 PM,$49.50,$1619.00,$0.74
111,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6780.75,6775.25,2/18/2026 12:47:00 PM,2/18/2026 1:16:00 PM,$28.00,$1647.00,$0.74
112,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6800.50,6802.50,2/18/2026 2:12:00 PM,2/18/2026 2:24:00 PM,($9.50),$1637.50,$0.74
113,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6913.50,6911.25,2/18/2026 2:55:00 PM,2/18/2026 3:26:00 PM,($11.50),$1626.00,$0.74
114,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6788.25,6794.75,2/19/2026 9:47:00 AM,2/19/2026 10:15:00 AM,$32.50,$1658.50,$0.74
115,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6807.75,6804.25,2/19/2026 11:08:00 AM,2/19/2026 11:20:00 AM,($18.00),$1640.50,$0.74
116,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24268.00,24260.00,2/20/2026 9:37:00 AM,2/20/2026 9:44:00 AM,($16.00),$1624.50,$0.74
117,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24234.00,24242.75,2/23/2026 10:03:00 AM,2/23/2026 10:32:00 AM,$17.50,$1642.00,$0.74
118,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24219.75,24216.75,2/23/2026 11:24:00 AM,2/23/2026 11:51:00 AM,($6.00),$1636.00,$0.74
119,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6874.00,6885.50,2/23/2026 12:17:00 PM,2/23/2026 12:37:00 PM,$57.50,$1693.50,$0.74
120,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24125.00,24173.25,2/23/2026 1:28:00 PM,2/23/2026 1:55:00 PM,$96.50,$1790.00,$0.74
121,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24171.25,24183.50,2/23/2026 2:47:00 PM,2/23/2026 3:16:00 PM,($24.50),$1765.50,$0.74
122,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24142.75,24166.25,2/24/2026 9:58:00 AM,2/24/2026 10:00:00 AM,($47.00),$1718.50,$0.74
123,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6820.75,6818.50,2/24/2026 10:38:00 AM,2/24/2026 11:15:00 AM,($11.50),$1707.00,$0.74
124,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6904.50,6898.50,2/24/2026 11:40:00 AM,2/24/2026 11:52:00 AM,($29.50),$1677.50,$0.74
125,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6811.75,6829.75,2/25/2026 9:52:00 AM,2/25/2026 10:28:00 AM,$90.50,$1768.00,$0.74
126,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24171.00,24187.50,2/25/2026 11:10:00 AM,2/25/2026 11:28:00 AM,$33.00,$1801.00,$0.74
127,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24187.00,24214.50,2/25/2026 12:06:00 PM,2/25/2026 12:29:00 PM,$55.00,$1856.00,$0.74
128,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24124.25,24129.75,2/25/2026 1:09:00 PM,2/25/2026 1:44:00 PM,$11.00,$1867.00,$0.74
129,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24181.25,24201.25,2/25/2026 2:27:00 PM,2/25/2026 2:30:00 PM,$40.00,$1907.00,$0.74
130,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24267.75,24277.50,2/25/2026 2:59:00 PM,2/25/2026 3:04:00 PM,($19.50),$1887.50,$0.74
131,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6880.50,6884.25,2/26/2026 10:08:00 AM,2/26/2026 10:33:00 AM,$18.50,$1906.00,$0.74
132,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6772.50,6746.00,2/26/2026 11:19:00 AM,2/26/2026 11:30:00 AM,$133.00,$2039.00,$0.74
133,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24152.50,24160.75,2/26/2026 12:43:00 PM,2/26/2026 12:52:00 PM,$16.50,$2055.50,$0.74
134,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24128.25,24142.00,2/26/2026 1:52:00 PM,2/26/2026 2:28:00 PM,$27.50,$2083.00,$0.74
135,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24200.50,24186.25,2/27/2026 10:03:00 AM,2/27/2026 10:22:00 AM,$28.50,$2111.50,$0.74
136,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6894.00,6882.25,3/2/2026 9:48:00 AM,3/2/2026 10:14:00 AM,$59.00,$2170.50,$0.74
137,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6897.00,6892.25,3/2/2026 11:06:00 AM,3/2/2026 11:11:00 AM,($23.50),$2147.00,$0.74
138,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6821.25,6830.50,3/2/2026 11:48:00 AM,3/2/2026 11:53:00 AM,$46.00,$2193.00,$0.74
139,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24186.75,24195.75,3/2/2026 12:48:00 PM,3/2/2026 1:06:00 PM,($18.00),$2175.00,$0.74
140,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6869.75,6875.00,3/2/2026 1:35:00 PM,3/2/2026 2:13:00 PM,($26.00),$2149.00,$0.74
141,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6924.75,6942.75,3/3/2026 9:36:00 AM,3/3/2026 10:13:00 AM,($90.00),$2059.00,$0.74
142,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24193.75,24176.00,3/3/2026 10:52:00 AM,3/3/2026 11:12:00 AM,($35.50),$2023.50,$0.74
143,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24164.00,24168.25,3/3/2026 12:26:00 PM,3/3/2026 1:02:00 PM,($8.50),$2015.00,$0.74
144,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24141.50,24132.75,3/3/2026 1:35:00 PM,3/3/2026 1:47:00 PM,($17.50),$1997.50,$0.74
145,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24187.00,24184.00,3/3/2026 2:38:00 PM,3/3/2026 2:57:00 PM,($6.00),$1991.50,$0.74
146,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Short,1,24197.50,24133.75,3/4/2026 10:00:00 AM,3/4/2026 10:06:00 AM,$127.50,$2119.00,$0.74
147,MES 03-26,DEMO-50K,EdgeCheck Demo,Long,1,6846.75,6842.50,3/4/2026 11:20:00 AM,3/4/2026 11:34:00 AM,($21.50),$2097.50,$0.74
148,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6837.50,6839.00,3/4/2026 12:27:00 PM,3/4/2026 12:40:00 PM,($7.50),$2090.00,$0.74
149,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6782.50,6779.00,3/5/2026 10:07:00 AM,3/5/2026 10:20:00 AM,$17.00,$2107.00,$0.74
150,MNQ 03-26,DEMO-50K,EdgeCheck Demo,Long,1,24216.25,24221.50,3/5/2026 11:25:00 AM,3/5/2026 11:42:00 AM,$10.50,$2117.50,$0.74
151,MES 03-26,DEMO-50K,EdgeCheck Demo,Short,1,6794.00,6800.00,3/6/2026 9:45:00 AM,3/6/2026 10:12:00 AM,($29.50),$2088.00,$0.74
